Nomi,Narxi ($),Tavsifi,Rasm
"DS-2CE76H0T-ITPFS 2,8mm",30,5MP@20fps. 4MP@25fps(P)/30fps(N)(Default). EXIR. 20m IR. Outdoor EXIR Turret. ICR. 0.01 Lux/F1.2. 12 VDC. Smart IR. DNR. Built-in Mic.Audio up Coaxial(Only TVI).OSD Menu(Up the Coax). 2.8/3.6/6mm Lens，Support TVI/AHD/CVI/CVBS video signal output,
DS-7104HGHI-K1,33,4 Turbo HD/AHD/Analog interface input. 4-ch HDTVI  coaxial video&audio input. 1-ch RCA audio input. 1 SATA interface. HD1080P Lite: 25(P)/30(N) fps/ch. mini 1U case,
DS-7104HQHI-K1(STD)(C)(S)/RUS,44.3,4 Turbo HD/AHD/Analog interface input. 4-ch HDTVI  coaxial video&audio input. 1-ch RCA audio input. 2-ch IP video input(up to 6-ch IP).1 SATA interface.CH01: 3MP@15fps. CH01-04:1920×1080P/4MP Lite@15fps/ch. mini 1U case,
DS-7104HUHI-K1(STD)(S),51,4 Turbo HD/CVI / AHD / CVBS self-adaptive interfaces input. 4-ch HDTVI  coaxial video&audio input. 1-ch RCA audio input. 4-ch IP video input(up to 8-ch IP). 1 SATA interface.  H.265/H.265+ compression. 5MP: 12fps. 4MP: 15fps. 3MP: 18fps. 1920×1080P: 25(P)/30(N) fps/ch. mini 1U case,
DS-7108HGHI-K1,45,8 Turbo HD/AHD/Analog interface input. 8-ch video&1-ch audio input. 2-ch IP video input. HDMI & VGA Output. 1 SATA interface. HD1080P Lite: : 25(P)/30(N) fps/ch. mini 1U case,
DS-7108HQHI-K1(STD)(C)(S),59,8 Turbo HD/AHD/Analog interface input. 8-ch HDTVI  coaxial video&audio input. 1-ch RCA audio input. 4-ch IP video input(up to 12-ch IP).1 SATA interface.CH01&02:3MP@15fps. CH01-08:1920×1080P/4MP Lite@15fps/ch. mini 1U case,
DS-7116HGHI-K1(STD)(C)(S),71,"Deep learning based human and vehicle targets classification of Motion Detection 2.0
H.265 Pro+/H.265 Pro/H.265 video compression
HDTVI/AHD/CVI/CVBS/IP video input
Audio via coaxial cable
Up to 18-ch IP camera inputs (up to 5 MP)
Up to 1080p Lite@15 fps encoding capability
Max. 1200 m for 720p HDTVI signal",
iDS-7116HQHI-M1/S,125,16-ch motion detection2.0 or 4-ch false alarm filter. 16 Turbo HD/CVI / AHD / CVBS self-adaptive interfaces input. 16-ch video&1-ch audio input. H.265/H.265+ compression. 1 SATA interface.:1920×1080P @15 fps. 4MP Lite@15fps/ch. 4K UHD output，Mini 1U case,
iDS-7208HQHI-M1/S,80,8-ch Motion Detection 2.0 or 4-ch false alarm filter.  8 Turbo HD/CVI / AHD / CVBS self-adaptive interfaces input. 8-ch video&1-ch audio input. H.265/H.265+ compression. 1 SATA interface.CH01 & 02: 3MP @ 15fps. CH01-08:1920×1080P @15 fps. 4MP Lite@15fps/ch. support CVBS output. standalone 1U case,
IDS-7108HQHI-M1/S,75,"full-channel motion detection 2.0 or 4-ch false alarm filter, 8 Turbo HD/CVI / AHD / CVBS self-adaptive interfaces input, 8-ch video&1-ch audio input, H.265/H.265+ compression, 4-ch IP video input(up to 12-ch IP),1 SATA interface CH01-08:1920×1080P @15 fps, 4MP Lite@15fps/ch,  mini 1U case",
"DS-2CD1043G2-I 2,8MM",38.6,"Support Human and Vehicle Detection
High quality imaging with 4 MP resolution
Efficient H.265+ compression technology
Clear imaging even with strong back lighting due to 120 dB WDR
Water and dust resistant (IP67)
EXIR 2.0: advanced infrared technology with long IR range
-UF: Built-in microphone for real-time audio security",
DS-2CD1043G2-IUF 2.8mm,45,"Support Human and Vehicle Detection
High quality imaging with 4 MP resolution
Efficient H.265+ compression technology
Clear imaging even with strong back lighting due to 120 dB WDR
Water and dust resistant (IP67)
EXIR 2.0: advanced infrared technology with long IR range
-UF: Built-in microphone for real-time audio security",
"DS-2CD1047G2-L 2,8MM",64,"High quality imaging with 4 MP resolution
24/7 colorful imaging
Support Human and Vehicle Detection
Water and dust resistant (IP67)
Clear imaging even with strong back lighting due to 120 dB WDR
Efficient H.265+ compression technology
Support on-board storage up to 256GB (SD card slot)(Optional)
Built-in microphone for real-time audio security(Optional)",
DS-2CD1047G2H-LIU 2.8MM,67,"1/3"" Progressive CMOS, ICR,2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone, DC12V & PoE, Support mobile monitoring via Hik-Connect;
*-F: SD Card Slot (up to 512GB)
*power supply is not included",
DS-2CD1047G2H-LIUF 2.8MM,70.5,"1/3"" Progressive CMOS, ICR,2560 × 1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, DWDR, 3D DNR, BLC, IR or white light range: up to 30m, Built-in microphone, DC12V & PoE, Support mobile monitoring via Hik-Connect;
*-F: SD Card Slot (up to 512GB)
*power supply is not included",
"DS-2CD1143G2-I 2,8MM",41,"High quality imaging with 4 MP resolution
Support Human and Vehicle Detection
Water and dust resistant (IP67) and vandal resistant (IK10)
Clear imaging even with strong back lighting due to 120 dB WDR
Efficient H.265+ compression technology
EXIR 2.0: advanced infrared technology with long IR range",
DS-2CD1143G2-IUF 2.8mm,48,"1/3"" Progressive CMOS, ICR,2560x1440: 20fps(P)/(N), H.265+/H.265/H.264+&H.264, WDR, 3D DNR, BLC, IR range: up to 30m, DC12V & PoE,  Support mobile monitoring via Hik-Connect; Build-in microphone & SD Card Slot (up to 256GB);
*power supply is not included",
DS-2CV2041G2-IDW(2.8mm)(D)(O-STD)/FUS,50,"High quality imaging with 4 MP resolution
Realizing Wi-Fi connection and easy installation
Provides real-time security via built-in two-way audio
Efficient H.265 compression technology
EXIR 2.0. advanced infrared technology with long IR distance
Wi-Fi connection with Hik-Connect directly is not possible
Water and dust resistant (IP66)
Built-in memory card slot. support microSD/microSDHC/microSDXC card. up to 256 GB",
DS-2CD1023G0E-I(2.8mm)(C)(O-STD),27,"1/2.8"" Progressive CMOS. ICR. 1920x1080:25fps(P)/30fps(N). 
H.265+/H.264+&H.264. DWDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included",
DS-2CD1023G0-IUF(2.8mm)(C)(O-STD),34,"1/2.8"" Progressive CMOS. ICR. 1920x1080:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. DWDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Build-in microphone & SD Card Slot (up to 256GB). Support mobile monitoring via Hik-Connect 
*power supply not included",
DS-2CD1027G2-LUF 2.8MM,50,"High quality imaging with 2 MP resolution
24/7 colorful imaging
Support Human and Vehicle Detection
Water and dust resistant (IP67)
Efficient H.265+ compression technology
Support on-board storage up to 256GB (SD card slot)(Optional)",
DS-2CD1047G2-LUF 2.8MM,69,"High quality imaging with 4 MP resolution
24/7 colorful imaging
Support Human and Vehicle Detection
Water and dust resistant (IP67)
Clear imaging even with strong back lighting due to 120 dB WDR
Efficient H.265+ compression technology
Support on-board storage up to 256GB (SD card slot)(Optional)",
"DS-2CD1027G2-L 2,8MM",41,"1/2.8"" Progressive CMOS. Color: 0.001 Lux @ (F1.0. AGC ON)，1920x1080:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. DWDR. 3D DNR. BLC. up to 30m warm light. DC12V & PoE. Full Metal. Support mobile monitoring via Hik-Connect *power supply no included",
DS-2CD1053G0-I(2.8mm)(C)(O-STD),56,"1/2.7"" Progressive CMOS. ICR. 2560*1920:15fps(P)/(N). 2304x1296:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. WDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included",
DS-2CD1063G0-I(2.8mm)(Distribution),54,"1/2.5"" Progressive CMOS. ICR. 3840 × 2160: 12.5fps(P)/15fps(N).H.265+/H.265. WDR. 3D DNR. BLC. HLC. IR range: up to 30m. DC12V & PoE. Support mobile monitoring via Hik-Connect; *power supply no included",
DS-2CD1083G0-I(2.8mm)(C)(O-STD),71,"1/2.5"" Progressive CMOS. ICR. 3840 × 2160: 12.5fps(P)/15fps(N).
H.265+/H.265. WDR. 3D DNR. BLC. HLC. IR range: up to 30m. DC12V & PoE. Support mobile monitoring via Hik-Connect; 
*power supply no included",
DS-2CD1083G2-LIU 2.8MM,73,"High quality imaging with 8 MP resolution
Support Human and Vehicle Detection
Smart Hybrid Light: advanced technology with long range
Efficient H.265+ compression technology
Support on-board storage up to 512 GB (SD card slot) (Optional)
Built-in microphone for real-time audio security
Water and dust resistant (IP67)",
DS-2CD1083G2-LIUF 2.8MM,75,"High quality imaging with 8 MP resolution
Support Human and Vehicle Detection
Smart Hybrid Light: advanced technology with long range
Efficient H.265+ compression technology
Support on-board storage up to 512 GB (SD card slot) (Optional)
Built-in microphone for real-time audio security
Water and dust resistant (IP67)",
DS-2CD1123G0E-I(2.8mm)(C)(O-STD),32,"1/2.8"" Progressive CMOS. ICR. 1920x1080:25fps(P)/30fps(N). 
H.265+/H.264+&H.264. DWDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included",
DS-2CD1123G2-LIU 2.8MM,37,"High quality imaging with 2 MP resolution
Support Human and Vehicle Detection
Smart Hybrid Light: advanced technology with long range
Built-in microphone for real-time audio security
Efficient H.265+ compression technology
Support on-board storage up to 512 GB (SD card slot) (Optional)
Water and dust resistant (IP67) and vandal resistant (IK08)",
DS-2CD1143G2-LIU 2.8MM,49,"High quality imaging with 4 MP resolution
Support Human and Vehicle Detection
Smart Hybrid Light: advanced technology with long range
Built-in microphone for real-time audio security
Efficient H.265+ compression technology
Support on-board storage up to 512 GB (SD card slot) (Optional)
Water and dust resistant (IP67) and vandal resistant (IK08)",
"DS-2CD1143G2-I 2,8MM",41,"1/3"" Progressive CMOS. ICR. 2560x1440:20fps(P)/(N). 2304x1296:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. WDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included
Motion detection 2.0",
DS-2CD1153G0-I(2.8mm)(O-STD),55,"1/2.7"" Progressive CMOS. ICR. 2560*1920:15fps(P)/(N). 2304x1296:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. WDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included",
DS-2CD1163G0-I(2.8mm)(Distribution),51,"1/2.5"" Progressive CMOS. ICR. 3840 × 2160: 12.5fps(P)/15fps(N).H.265+/H.265/. WDR. 3D DNR. BLC. HLC. IR range: up to 30m. DC12V & PoE. Support mobile monitoring via Hik-Connect; *power supply no included",
DS-2CD1323G0E-I(2.8mm)(C)(O-STD),29.1,"1/2.8"" Progressive CMOS. ICR. 1920x1080:25fps(P)/30fps(N). 
H.265+/H.264+&H.264. DWDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included",
DS-2CD1323G0-IUF(2.8mm)(C)(O-STD),37.3,"1/2.8"" Progressive CMOS. ICR. 1920x1080:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. DWDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Build-in microphone & SD Card Slot (up to 256GB). Support mobile monitoring via Hik-Connect
*power supply not included",
DS-2CD1323G2-LIU 2.8MM,40,"High quality imaging with 2 MP resolution
Support Human and Vehicle Detection
Smart Hybrid Light: advanced technology with long range
Built-in microphone for real-time audio security
Efficient H.265+ compression technology
Support on-board storage up to 512 GB (SD card slot) (Optional)
Water and dust resistant (IP67)",
DS-2CD1327G0-L(2.8mm)(C)(O-STD),46,"1/2.7"" Progressive CMOS. ICR.1920 × 1080: 25fps(P)/30fps(N). H.265+/H.265/H.264+&H.264. DWDR. 3D DNR. BLC. Warm light range: up to 30m. DC12V & PoE.  Support mobile monitoring via Hik-Connect
*-UF: Build-in microphone & SD Card Slot (up to 256GB).
*power supply is not included",
"DS-2CD1343G2-I 2,8MM",38.6,"1/3"" Progressive CMOS. ICR. 2560x1440:20fps(P)/(N). 2304x1296:25fps(P)/30fps(N).
H.265+/H.265/H.264+&H.264. WDR. 3D DNR. BLC. IR range: up to 30m. DC12V & PoE.Support mobile monitoring via Hik-Connect *power supply no included",
